nivel;camada;onde;mensagem
Fatal;Cross Sections;Itajai_Mirim, R1 (46253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (45753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (45003.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (44503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (44253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (44253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (42753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (42253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (42253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (41753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (41753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (40753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (39753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (39753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (38503.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (38003.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (37503.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (37253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (36753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (36753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (36503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (36503.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (35753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (35503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (35003.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (34503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (34003.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (34003.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (33753.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (33753.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (33503.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (33253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (33253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (32503.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (32253.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (32253.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (32003.33);Left Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (32003.33);Right Bank Station point is different than the bankline intersection (>1%)
Fatal;Cross Sections;Itajai_Mirim, R1 (30753.33);Left Bank Station point is different than the bankline intersection (>1%)
