rs;x;y;estaca_talvegue;z_lamina_mdt;z_leito_A_LEVANTAR;observacao
31003.33;709361.96;7004122.02;404.00;5.89;-0.48;"1983 RS 31338.58 a 335 m; calha levantada 6.92 m"
30503.33;709539.21;7004588.01;364.00;5.87;-0.98;"1983 RS 30338.58 a 171 m; calha levantada 7.12 m"
30003.33;709832.42;7005001.03;416.00;5.85;-0.98;"1983 RS 30338.58 a 336 m; calha levantada 7.12 m"
29503.33;709947.57;7005488.53;340.00;4.14;-1.98;"1983 RS 29338.58 a 165 m; calha levantada 7.08 m"
29003.33;710152.91;7005945.39;304.00;4.12;-1.98;"1983 RS 29338.58 a 337 m; calha levantada 7.08 m"
28003.33;710230.80;7006806.92;272.00;3.64;-2.48;"1983 RS 28338.58 a 326 m; calha levantada 6.96 m"
27503.33;710722.86;7006871.36;380.00;3.62;-2.98;"1983 RS 27338.58 a 170 m; calha levantada 6.79 m"
27003.33;711102.93;7007173.91;396.00;3.60;-2.98;"1983 RS 27338.58 a 329 m; calha levantada 6.79 m"
26503.33;711391.06;7007581.06;360.00;3.58;-3.08;"1983 RS 26338.58 a 170 m; calha levantada 6.96 m"
25753.33;711966.51;7008062.18;380.00;3.56;-3.48;"1983 RS 25338.58 a 417 m; calha levantada 7.44 m"
25003.33;712651.06;7008253.83;454.00;3.54;-3.48;"1983 RS 25338.58 a 323 m; calha levantada 7.44 m"
24503.33;712970.73;7008636.80;478.00;3.52;-3.98;"1983 RS 24338.58 a 167 m; calha levantada 7.10 m"
24003.33;713283.78;7009028.12;478.00;3.49;-3.98;"1983 RS 24338.58 a 338 m; calha levantada 7.10 m"
23253.33;713461.38;7009757.58;380.00;2.37;-4.48;"1983 RS 23338.58 a 90 m; calha levantada 7.00 m"
22753.33;713938.26;7009778.10;470.00;1.74;-4.98;"1983 RS 22338.58 a 416 m; calha levantada 7.15 m"
22253.33;714434.16;7009839.04;454.00;1.72;-4.98;"1983 RS 22338.58 a 85 m; calha levantada 7.15 m"
21753.33;714871.00;7010083.23;410.00;1.70;-5.48;"1983 RS 21338.58 a 407 m; calha levantada 7.18 m"
21253.33;715023.35;7010534.47;386.00;1.69;-5.48;"1983 RS 21338.58 a 83 m; calha levantada 7.18 m"
20753.33;715052.24;7011011.75;380.00;1.59;-5.58;"1983 RS 20338.58 a 417 m; calha levantada 9.61 m"
20253.33;715426.97;7011342.77;360.00;1.57;-5.58;"1983 RS 20338.58 a 92 m; calha levantada 9.61 m"
19753.33;715806.91;7011667.63;462.00;1.55;-5.68;"1983 RS 19338.58 a 414 m; calha levantada 7.00 m"
19253.33;716039.49;7012108.98;450.00;1.42;-5.68;"1983 RS 19338.58 a 85 m; calha levantada 7.00 m"
18503.33;716422.96;7012735.33;486.00;1.40;-5.98;"1983 RS 18338.58 a 173 m; calha levantada 6.94 m"
18003.33;716596.93;7013221.19;402.00;1.38;-5.98;"1983 RS 18338.58 a 343 m; calha levantada 6.94 m"
17253.33;717109.38;7013774.44;430.00;0.77;-6.48;"1983 RS 17338.58 a 88 m; calha levantada 7.84 m"
16753.33;717444.55;7014147.72;376.00;0.75;-6.98;"1983 RS 16338.58 a 414 m; calha levantada 6.98 m"
16253.33;717802.81;7014498.97;470.00;0.73;-6.98;"1983 RS 16338.58 a 88 m; calha levantada 6.98 m"
15753.33;718022.18;7014947.91;458.00;0.71;-7.08;"1983 RS 15338.58 a 410 m; calha levantada 7.18 m"
15253.33;718334.61;7015337.59;376.00;0.69;-7.08;"1983 RS 15338.58 a 90 m; calha levantada 7.18 m"
14753.33;718788.86;7015550.34;462.00;0.67;-7.98;"1983 RS 14338.58 a 415 m; calha levantada 7.26 m"
14253.33;719135.10;7015903.86;438.00;0.65;-7.98;"1983 RS 14338.58 a 86 m; calha levantada 7.26 m"
13753.33;719437.40;7016303.58;384.00;0.63;-8.48;"1983 RS 13338.58 a 415 m; calha levantada 7.22 m"
13003.33;720020.36;7016783.46;272.00;0.61;-8.48;"1983 RS 13338.58 a 341 m; calha levantada 7.22 m"
12503.33;720510.46;7016680.46;322.00;0.59;-8.58;"1983 RS 12338.58 a 161 m; calha levantada 6.96 m"
12003.33;720946.58;7016817.10;414.00;0.57;-8.58;"1983 RS 12338.58 a 330 m; calha levantada 6.96 m"
11503.33;721352.67;7017113.53;414.00;0.55;-8.68;"1983 RS 11338.58 a 167 m; calha levantada 7.23 m"
11003.33;721737.35;7017392.99;434.00;0.53;-8.68;"1983 RS 11338.58 a 331 m; calha levantada 7.23 m"
10503.33;722079.09;7017758.31;450.00;0.51;-8.78;"1983 RS 10338.58 a 165 m; calha levantada 7.01 m"
10003.33;722375.93;7018155.21;442.00;0.49;-8.78;"1983 RS 10338.58 a 333 m; calha levantada 7.01 m"
9503.33;722470.79;7018646.90;414.00;0.47;-8.88;"1983 RS 9338.58 a 173 m; calha levantada 6.93 m"
9003.33;722776.54;7019066.11;390.00;0.46;-8.88;"1983 RS 9338.58 a 346 m; calha levantada 6.93 m"
8503.33;723235.22;7019276.87;426.00;0.44;-8.98;"1983 RS 8338.58 a 167 m; calha levantada 5.58 m"
8003.33;723688.79;7019468.49;418.00;0.43;-8.98;"1983 RS 8338.58 a 334 m; calha levantada 5.58 m"
7503.33;724107.34;7019737.20;426.00;0.41;-9.08;"1983 RS 7338.58 a 167 m; calha levantada 6.79 m"
7003.33;724526.28;7020010.64;426.00;0.39;-9.08;"1983 RS 7338.58 a 336 m; calha levantada 6.79 m"
6503.33;724943.19;7020286.89;422.00;0.37;-9.18;"1983 RS 6338.58 a 167 m; calha levantada 6.73 m"
6003.33;725360.91;7020561.71;418.00;0.35;-9.18;"1983 RS 6338.58 a 337 m; calha levantada 6.73 m"
5503.33;725782.98;7020829.81;422.00;0.33;-9.28;"1983 RS 5338.58 a 167 m; calha levantada 6.76 m"
5003.33;726200.70;7021104.62;418.00;0.31;-9.28;"1983 RS 5338.58 a 337 m; calha levantada 6.76 m"
4503.33;726624.94;7021369.36;426.00;0.29;-9.38;"1983 RS 4338.58 a 166 m; calha levantada 7.20 m"
4003.33;727040.51;7021647.54;418.00;0.28;-9.38;"1983 RS 4338.58 a 337 m; calha levantada 7.20 m"
3253.33;727670.80;7022054.06;418.00;0.26;-9.48;"1983 RS 3338.58 a 91 m; calha levantada 6.86 m"
2753.33;728088.82;7022328.41;414.00;0.24;-9.58;"1983 RS 2338.58 a 416 m; calha levantada 6.89 m"
2253.33;728511.19;7022596.05;418.00;0.23;-9.58;"1983 RS 2338.58 a 91 m; calha levantada 6.89 m"
1253.33;729347.23;7023144.77;410.00;0.22;-9.68;"1983 RS 1338.58 a 94 m; calha levantada 6.87 m"
503.33;729905.77;7023599.85;390.00;0.20;-9.78;"1983 RS 338.58 a 175 m; calha levantada 6.83 m"
