folha,frac_invalida,frac_miolo,colar_px,dif_mediana,dif_p95,classe,doente
MDT_SG-22-Z-A-VI-1-SE-E.tif,0.01838,0.00698,0,37.82,341.15,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SE-F.tif,0.01924,0.00777,0,-91.21,325.25,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SO-A.tif,0.01623,0.00524,0,47.0,118.02,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SO-B.tif,0.01742,0.00613,0,62.34,245.04,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SO-C.tif,0.01631,0.0053,0,4.53,134.17,furada,1
MDT_SG-22-Z-A-VI-1-SO-D.tif,0.01734,0.00611,0,-23.88,255.9,fora_de_nivel,1
MDT_SG-22-Z-A-VI-1-SO-E.tif,0.01659,0.00544,0,-3.92,124.93,furada,1
MDT_SG-22-Z-A-VI-1-SO-F.tif,0.01734,0.00611,0,24.84,296.83,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NE-A.tif,0.02202,0.01027,0,-22.2,63.99,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NE-B.tif,0.0232,0.01128,0,-10.57,98.64,furada,1
MDT_SG-22-Z-A-VI-2-NE-C.tif,0.02226,0.01045,0,-14.47,74.54,furada,1
MDT_SG-22-Z-A-VI-2-NE-D.tif,0.0232,0.01128,0,12.63,129.01,furada,1
MDT_SG-22-Z-A-VI-2-NE-E.tif,0.02239,0.01057,0,19.9,108.42,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NE-F.tif,0.0232,0.01128,0,-7.45,185.35,furada,1
MDT_SG-22-Z-A-VI-2-NO-A.tif,0.02001,0.00846,0,-32.24,64.28,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NO-B.tif,0.02129,0.00953,0,16.77,68.09,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NO-C.tif,0.02001,0.00846,0,-19.16,60.22,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NO-D.tif,0.02115,0.00943,0,18.64,70.11,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-NO-E.tif,0.02009,0.00853,0,4.73,60.64,furada,1
MDT_SG-22-Z-A-VI-2-NO-F.tif,0.02122,0.0095,0,-5.41,81.18,furada,1
MDT_SG-22-Z-A-VI-2-SE-A.tif,0.02238,0.0105,0,44.88,100.48,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SE-B.tif,0.02313,0.01124,0,-15.21,255.99,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SE-C.tif,0.02238,0.0105,0,39.34,109.64,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SE-D.tif,0.02304,0.01119,0,35.87,243.89,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SE-E.tif,0.02223,0.01042,0,29.56,169.08,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SE-F.tif,0.02311,0.01123,0,40.11,217.81,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SO-A.tif,0.02017,0.00856,0,-13.3,125.45,furada,1
MDT_SG-22-Z-A-VI-2-SO-B.tif,0.0211,0.00942,0,-16.13,63.04,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SO-C.tif,0.02018,0.00857,0,-86.14,221.47,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SO-D.tif,0.02138,0.00965,0,-11.51,89.38,furada,1
MDT_SG-22-Z-A-VI-2-SO-E.tif,0.02019,0.00862,0,-80.08,306.89,fora_de_nivel,1
MDT_SG-22-Z-A-VI-2-SO-F.tif,0.02129,0.00958,0,-17.99,227.85,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NE-A.tif,0.01834,0.00699,0,58.96,208.09,fora_de_nivel,1
MDT_SG-22-Z-A-VI-3-NE-B.tif,0.01932,0.0078,0,-24.92,306.03,fora_de_nivel,1
