x,y,altura_m,area_m2,classe,nome
618269.2,6992524.1,5.1,384,?,
643997.2,7009908.1,5.08,15296,?,
670877.2,7021940.1,5.07,512,?,
648653.2,7005500.1,5.07,512,?,
644349.2,7009364.1,5.05,16832,?,
620661.2,6981228.1,5.05,7936,?,
643245.2,7010476.1,5.04,320,?,
636477.2,7008036.1,5.04,384,?,
709989.2,7006372.1,5.04,256,?,
730037.2,7022612.1,5.02,1408,?,
676413.2,6986876.1,5.01,1408,?,
710677.2,7021028.1,5.0,1856,?,
591413.2,7004172.1,4.99,384,?,
676405.2,7026100.1,4.97,91200,?,
644061.2,7007508.1,4.95,1472,?,
648229.2,7003572.1,4.95,448,?,
730149.2,7022972.1,4.92,2112,?,
595317.2,6994988.1,4.9,272320,?,
636461.2,6974812.1,4.89,51264,?,
670469.2,7031564.1,4.88,448,?,
684941.2,6990916.1,4.87,256,?,
696101.2,6995980.1,4.86,1408,?,
700933.2,6995876.1,4.86,768,?,
698917.2,6995876.1,4.86,384,ponte,
653981.2,6940820.1,4.84,12352,?,
642813.2,7008556.1,4.82,704,?,
671877.2,7030716.1,4.78,512,?,
692101.2,7023708.1,4.76,320,?,
693157.2,6990860.1,4.76,448,ponte,
696933.2,7023364.1,4.74,448,?,
644893.2,6998004.1,4.74,35200,?,
640965.2,7009692.1,4.73,448,?,
653093.2,7003468.1,4.73,448,?,
696197.2,6996028.1,4.72,832,?,
688301.2,6991644.1,4.71,640,?,
641061.2,7009636.1,4.7,448,?,
637845.2,7008676.1,4.68,73216,ponte,
716421.2,7024076.1,4.65,640,?,
729533.2,7019924.1,4.64,8768,?,
707549.2,7003012.1,4.64,256,?,
698069.2,6995756.1,4.64,960,?,
694293.2,6990404.1,4.63,256,?,
655469.2,6939892.1,4.63,3776,?,
648525.2,7005652.1,4.61,832,?,
678829.2,6989284.1,4.6,1152,?,
659597.2,7008788.1,4.59,2816,?,
641141.2,7009724.1,4.58,320,?,
712765.2,7008476.1,4.58,2240,?,
696693.2,6996044.1,4.58,256,?,
653077.2,6944444.1,4.58,3136,?,
654685.2,6939524.1,4.58,448,?,
703933.2,6999188.1,4.56,256,?,
586325.2,7009356.1,4.55,5568,?,
694573.2,6989828.1,4.53,832,?,
643877.2,7010156.1,4.52,59520,?,
688045.2,6990844.1,4.51,1088,?,
681909.2,7025364.1,4.49,320,?,
696677.2,6992604.1,4.49,768,?,
640357.2,7009820.1,4.48,960,?,
655469.2,7004228.1,4.48,41856,?,
700197.2,6996004.1,4.46,640,?,
638077.2,6968956.1,4.44,384,ponte,
718605.2,7026508.1,4.42,384,?,
594821.2,7002796.1,4.42,3712,?,
659301.2,6938100.1,4.42,320,?,
729165.2,7018860.1,4.38,704,ponte,
719261.2,7025908.1,4.37,256,?,
704197.2,7021652.1,4.34,320,?,
687397.2,6991156.1,4.34,1216,?,
637637.2,6965508.1,4.34,576,?,
642453.2,6957124.1,4.34,320,?,
712965.2,7008684.1,4.33,5952,?,
652733.2,6945148.1,4.33,640,?,
676189.2,7024828.1,4.32,320,?,
581861.2,7018276.1,4.3,576,?,
658725.2,7008116.1,4.28,1152,?,
700077.2,6995948.1,4.28,896,?,
695637.2,6991996.1,4.28,1152,?,
733837.2,7021380.1,4.26,5632,?,
704581.2,6999084.1,4.25,256,?,
721557.2,7023804.1,4.24,384,?,
658917.2,7007868.1,4.24,1600,?,
648381.2,7003580.1,4.24,384,?,
637253.2,6965164.1,4.24,448,?,
642869.2,7008692.1,4.23,28032,?,
643725.2,7010556.1,4.21,256,?,
705533.2,7000844.1,4.19,320,?,
673469.2,7023412.1,4.17,1408,?,
662013.2,7008332.1,4.17,576,?,
637525.2,6965628.1,4.16,960,?,
621157.2,6980732.1,4.14,320,?,
705021.2,7001132.1,4.13,320,?,
674549.2,6986540.1,4.13,256,?,
615413.2,6988716.1,4.1,512,?,
642589.2,6956884.1,4.09,448,represa,Barragem Sul
