id,ano,data_pico,cota_blumenau_m,chuva_media_bacia_mm,chuva_max_sub_bacia_mm,fonte_dados,arquivo_csv,chuva_oeste_mm,chuva_mirim_doce_mm,chuva_sul_mm,chuva_perimbo_mm,chuva_trombudo_mm,chuva_norte_mm,chuva_benedito_mm,chuva_mirim_mm,chuva_luis_alves_mm,chuva_acu_mm
BLU_19751213,1975,1975-12-13,8.5,32.6,53.2,Reanálise ERA5-Land (Open-Meteo),evento_1975_12_13_cota_8_50m.csv,52.0,53.2,22.0,36.5,33.1,24.8,36.7,23.9,20.1,23.9
BLU_19751004,1975,1975-10-04,12.63,41.3,61.8,Reanálise ERA5-Land (Open-Meteo),evento_1975_10_04_cota_12_63m.csv,39.1,56.0,47.1,61.8,37.0,21.4,45.2,35.8,34.1,35.8
BLU_19730829,1973,1973-08-29,12.35,71.0,108.1,Reanálise ERA5-Land (Open-Meteo),evento_1973_08_29_cota_12_35m.csv,65.6,60.1,53.1,58.5,65.4,67.0,108.1,80.8,71.1,80.8
BLU_19730728,1973,1973-07-28,9.35,3.7,6.3,Reanálise ERA5-Land (Open-Meteo),evento_1973_07_28_cota_9_35m.csv,5.9,6.3,2.2,4.5,3.3,2.7,3.3,2.0,4.4,2.0
BLU_19730722,1973,1973-07-22,9.3,49.8,62.1,Reanálise ERA5-Land (Open-Meteo),evento_1973_07_22_cota_9_30m.csv,48.2,57.2,54.2,62.1,47.9,35.0,50.0,49.5,44.5,49.5
BLU_19730703,1973,1973-07-03,9.0,38.4,54.8,Reanálise ERA5-Land (Open-Meteo),evento_1973_07_03_cota_9_00m.csv,40.0,51.6,47.5,54.8,40.5,28.9,37.4,29.8,23.9,29.8
BLU_19730625,1973,1973-06-25,11.3,48.3,56.3,Reanálise ERA5-Land (Open-Meteo),evento_1973_06_25_cota_11_30m.csv,53.6,56.3,46.1,48.6,50.9,47.4,46.3,44.6,44.8,44.6
BLU_19720829,1972,1972-08-29,11.35,55.4,72.1,Reanálise ERA5-Land (Open-Meteo),evento_1972_08_29_cota_11_35m.csv,66.8,72.1,59.0,67.7,61.2,56.0,45.3,43.8,38.2,43.8
BLU_19720817,1972,1972-08-17,10.7,3.6,5.7,Reanálise ERA5-Land (Open-Meteo),evento_1972_08_17_cota_10_70m.csv,3.1,5.7,1.9,5.3,4.0,1.4,4.8,3.2,3.1,3.2
BLU_19710609,1971,1971-06-09,10.35,52.0,61.0,Reanálise ERA5-Land (Open-Meteo),evento_1971_06_09_cota_10_35m.csv,55.9,54.6,45.4,50.8,49.3,48.4,61.0,50.3,53.7,50.3
BLU_19690406,1969,1969-04-06,10.14,61.8,85.8,Reanálise ERA5-Land (Open-Meteo),evento_1969_04_06_cota_10_14m.csv,65.6,60.0,45.3,48.3,49.9,52.9,85.8,71.7,67.2,71.7
