categoria;RiverStation
orientacao_angular;52874.43
orientacao_angular;52642.93
orientacao_angular;52411.43
orientacao_angular;50773.21
orientacao_angular;50095.39
orientacao_angular;47388.66
orientacao_angular;47124.98
orientacao_angular;46682.89
orientacao_angular;40968.47
orientacao_angular;39331.20
orientacao_angular;37239.93
orientacao_angular;35168.92
orientacao_angular;32605.05
orientacao_angular;20660.82
orientacao_angular;20359.14
orientacao_angular;19605.79
orientacao_angular;18250.43
orientacao_angular;14138.98
orientacao_angular;13658.43
orientacao_angular;13397.10
orientacao_angular;13135.77
orientacao_angular;12459.53
orientacao_angular;6717.02
orientacao_angular;6429.51
orientacao_angular;6142.01
orientacao_angular;4477.32
orientacao_angular;3696.55
orientacao_angular;3036.88
orientacao_angular;2164.73
orientacao_angular;1695.94
orientacao_angular;1221.01
orientacao_angular;746.07
talvegue_na_ponta;118529.66
talvegue_na_ponta;75255.62
talvegue_na_ponta;74583.12
talvegue_na_ponta;73981.17
talvegue_na_ponta;63522.38
talvegue_na_ponta;75.00
cobertura_mdt_baixa;7505.47
cobertura_mdt_baixa;6717.02
cobertura_mdt_baixa;6429.51
cobertura_mdt_baixa;6142.01
cobertura_mdt_baixa;4477.32
cobertura_mdt_baixa;3952.87
cobertura_mdt_baixa;75.00
degrau_fundo_g06;127448.69 -> 127354.94 (-2.77 m)
degrau_fundo_g06;94739.50 -> 94601.23 (-2.57 m)
degrau_fundo_g06;51017.91 -> 50773.21 (-2.33 m)
degrau_fundo_g06;123528.74 -> 123503.74 (-2.13 m)
degrau_fundo_g06;94601.23 -> 94462.96 (+2.06 m)
degrau_fundo_g06;132580.53 -> 132555.53 (-1.99 m)
degrau_fundo_g06;140922.34 -> 140872.34 (-1.97 m)
degrau_fundo_g06;137623.17 -> 137593.17 (-1.89 m)
