nivel;camada;onde;mensagem
Fatal;Cross Sections;Itajai_Norte, R1 (91549.08);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (90889.08);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (90229.08);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (89637.98);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (89215.98);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (88818.72);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (88375.18);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (87882.22);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (87408.82);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (87192.40);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86977.47);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86806.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86656.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86506.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86356.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86206.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (86056.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85906.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85756.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85606.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85456.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85306.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85156.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (85006.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (84856.81);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (84701.22);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (84524.46);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (84323.67);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (84105.67);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (83881.92);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (83632.10);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (83416.25);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (83229.76);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (83022.89);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (82821.90);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (82648.24);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (82498.20);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (82307.47);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (82034.06);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (81662.96);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (81435.58);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (81188.50);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (80964.78);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (80796.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (80646.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (80495.60);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (80242.01);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (79922.01);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (79540.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (79118.55);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (78658.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (78168.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (77678.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (77528.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (77378.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (77228.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (77078.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (76928.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (76778.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (76628.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (76478.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (76328.56);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (76112.49);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (75734.14);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (75436.42);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (75179.18);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (74956.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (74738.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (74520.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (74302.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (74084.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (73866.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (73648.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (73430.94);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (73153.91);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (72801.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (72651.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (72501.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (72351.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (72201.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (72051.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (71901.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (71751.53);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (71598.13);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (71442.31);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (71286.50);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (70814.99);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (69928.27);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (69030.27);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (68182.28);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (67284.28);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (66420.28);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (65584.20);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (65154.21);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (64833.36);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (64479.36);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (64125.36);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (63771.36);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (63434.57);XS intersects < 2 banklines
Fatal;Cross Sections;Itajai_Norte, R1 (63143.59);XS intersects < 2 banklines
